codigo,artista,musica,letra
04545,Doris Day,Que Sera Sera,When I was just a little girl
04546,B.J. Thomas,Raindrops Keep Falling On My Head,Raindrops keep falling on
04547,Drifters,Save The Last Dance For Me,You can dance every dance
04548,Lionel Richie,Say You Say Me,Say you say me say it for always
04549,John Lennon,Stand By Me,When the night has come
04550,John Denver,Sunshine On My Shoulders,Sunshine on my shoulders
04551,Skeeter Davis,The End Of The World,Why does the sun go on shining
04552,Animals,The House Of The Rising Sun,There is house in New Orleans
04553,Righteous Brothers,Unchained Melody,Oh my love my darling
04554,Ray Charles,Unchain My Heart,Unchain my heart
04555,Natalie Cole,Unforgettable,Unforgettable that's what you
04556,Louis Armstrong,What A Wonderful World,I see trees of green red roses
04557,H. Belafonte,When The Saints Go Marchin' In,I am just a weary pilgrim
04558,Mariah Carey,Without You,No I can't forget this evening
04559,Beatles,Yesterday,Yesterday
04560,Mitch Miller,You Are My Sunshine,The other night dear as I lay
04561,Johnny Horton,All For The Love Of  A Girl,Well today I'm so weary
04562,Willie Nelson,Always On My Mind,Maybe I didn't love you
04563,Beatles,And I Love Her,I give her all my love that's
04564,Perry Como,And I Love You So,And I love you so
04565,John Denver,Annie'S Song,You fill up my senses
04566,Elvis Presley,Are You Lonesome Tonight?,Are you lonesome tonight?
04567,Rolling Stones,As Tears Go By,It is the evening of the day
04568,Michael Jackson,Beat It,They told him don't you ever come
04569,Kim Carnes,Bette Davis' Eyes,Her hair is harrow gold
04570,Michael Jackson,Billie Jean,She was more like a beauty
04571,Simon and Garfunkel,Bridge Over Troubled Water,When you're weary feeling
04572,Elvis Presley,Cant Help Fallin' In Love,Wise man say only fools rush in
04573,Bertie Higgins,Casablanca,I fell in love with you
04574,Abba,Dancing Queen,Yeah! You can dance you can
04575,Kansas,Dust In The Wind,I close my eyes
04576,Police,Every Breath You Take,Every breath you take
04577,Irene Cara,Fame,Baby look at me
04578,Kris Kristofferson,For The Good Times,"Don't look so sad, I know it's over"
04579,Turtles,Happy Together,Imagine me and you I do
04580,C.C.R.,Have You Ever Seen The Rain,Someone told me long ago
04581,Andy Williams,Hawaiian Wedding Song,This is the moment I've waited for
04582,Kris Kristofferson,Help Me Make It Through The Night,Take the ribbon from your hair
04583,Billy Joel,Honesty,If you search for tenderness
04584,Eagles,Hotel California,On a dark desert highway
04585,Bee Gees,I Started A Joke,I started a joke
04586,Patty Page,I Went To Your Wedding,I went your wedding altho'I was
04587,Lobo,I'D Love You To Want Me,When I saw you standin' there
04588,Rockwell,Knife,You touched my life
04589,Kenny Rogers,Lady,"Lady, I'm your knight in"
04590,Everly Brothers,Let It Be Me,I bless the day I found you
04591,C.C.R.,Lodi,Just about a year ago
04592,Al Martino,Love Is Blue,Blue blue my world is blue
04593,Clovers,Love Potion Number Nine,I took my troubles down to
04594,Johnny Mathis,Mist,Look at me I'm as helpless
04595,Andy Williams,More,More than the greatest love the
04596,Drifters,My Girl,I've got sunshine on a cloudy day
04597,Glenn Medeiros,Nothing'S Gonna Change My Love For You,If I had to live my life
04598,José Feliciano,Once There Was A Love,Once there was a love
04599,Eagles,One Of These Nights,One of these nights
04600,Marie Osmond,Paper Roses,I realize the way your eyes
04601,Billy Joel,Piano Man,It's nine o'clock on a Saturday
04602,C.C.R.,Proud Mary,Left a good good in the city
04603,Engerbert Humperdinck,Release Me,"Please release me, let me go"
04604,Carol Song,Silent Night,Silent night holy night
04605,Tammy Wynette,Stand By Your Man,Sometimes it's hard to be a
04606,Carpenters,Superstar,Long ago and oh so far away
04607,John Denver,Take Me Home Country Roads,"Almost heaven, west Virginia"
04608,Eric Clapton,Tears In Heaven,Would you know my name
04609,Cliff Richard,The Young One'S,The young one's
04610,Commodores,There Time A Lady,Thanks for the times that you've
04611,Tony Orlando,The A Yellow Ribbon'Round The Old Oak Tree,I'm comin'home I've done my
04612,Carpenters,Top Of The World,Such a feelin's comin'over me
04613,Barbra Streisand,Woman In Love,life is a moment in space
04614,Eric Clapton,Wonderful Tonight,It's late in the evening
04615,Carpenters,Yesterday Once More,When I was young I'd listen
04616,C.C.R.,Bad Moon Rising,I see the bad moon rising I see
04617,Steppenwolf,Born To Be Wild,Get your motor runnin'head
04618,Elvis Presley,Burning Love,Lord almighty I feel my temperature
04619,Chicago,Colour My World,As time goes on realize just
04620,Paul Anka,Crazy Love,Crazy love it's just a crazy love
04621,Tommy James,Crimson And Clover,No I don't hardly know her but I
04622,Elton John,Crocodile Rock,I remember when the rock
04623,Animals,Don'T Let Me Be Misunderstood,Baby do you understand me now
04624,Santana,Evil Ways,You've got to change your evil
04625,Mood Blues,For My Lady,My boat sails story seas battle
04626,Albert Hammond,For The Peace Of All Mankind,You turn me on so bad that there
04627,Wilson Pickett,Funk Broadway,Every town I go in there's a street
04628,Beatles,Girl,Is there anybody gone to listen
04629,Chelsia Chan,Graduation Tears,And now is the time to say
04630,Olivia N. John e J. Travolta,Have You Never Been Mellow,There was a time when I was in a
04631,Chicago,If You Leave Now,If you leave me now you'll take
04632,Elvis Presley,I Really Don'T Want To Know,How many arms have held you
04633,Linda Ronstadt,It'S So Easy,It's so easy to falling in love it's so
04634,G. Clefs,I Understand,I understand just how you
04635,Chuck Berry,Johnny B. Good,Deep down in Louisiana
04636,Wham,Last Christmas,Oh oh oh oh wo wo ah ah last
04637,Eric Clapton,Let It Grow,Standin'at the cross road trying to
04638,Olivia N. John e J. Travolta,Let Me Be There,Wherever you go wherever
04639,Smokie,Living Next Door To Alice,Sally called when she goes
04640,John Lennon,Love,Love is real is love love  is
04641,Chicago,Make Me Smile,Children play in the park they
04642,Knack,My Sharona,Oh my little pretty one my pretty
04643,Don Gibson,Never On Sunday,Oh you can kiss me on a monday
04644,Beatles,Obladi Oblada,Desmond has a barrow in the
04645,Roy Orbison,Only The Lonely,Only the lonely you know the way
04646,Paul Anka,Papa,Every day my Papa would
04647,Barclay J. Harvest,Poor Man'S Moody Blue,All the night that I've missed
04648,"Peter, Paul and Mary",Puff,Puff the magic dragon lived
04649,The Cascades,Rhythm Of The Rain,Listen to the rhythm of the
04650,Bay City Rollers,Saturday Night,"Saturday night, saturday"
04651,Carol Song,Silver Bells,City side walks busy side walks
04652,Beach Boys,Sloop John B.,We'll come on the sloop
04653,Deep Purple,Soldier Of Fortune,I have often told you stories about
04654,Arches,Sugar Sugar,Sugar ah honey honey you are
04655,S. Harnick & J. Bock,Sunrise Sunset,Is this the little girl I carried
04656,C.C.R.,Susie Q,"Oh susie Q, oh Susie Q, oh Susie"
04657,Bette Midler,The Rose,Some say love it's a river that
04658,Barbra Streisand,The Way We Were,Mem'ries light the corners
04659,Mariane Faithful,This Little Bird,There's little bird that somebody
04660,Tom Jones,Till,Till the moondeserts the sky
04661,H. Belafonte,Try To Remember,Try to remember the kind of
04662,Matt Monto,Walk Away,Walk away please go before you
04663,Michael Holm,When A Child Is Born,A ray of hope flickes in the sky
04664,Música Natalina,White Christmas,I'm dreaming of a white christmas
04665,Bee Gees,Words,Smile every lasting smile
04666,Procol Harum,A Whiter Shade Of Pale,We skipped the light fandango
04667,Julio Iglesias,Crazy,"Crazy, I'm crazy for feeling"
04668,Mariah Carey,Hero,There's a hero
04669,All-4-One,I Swear,I swear
04670,Frank Sinatra,Let Me Try Again,I know I said that I was leaving
04671,Four Aces,Love Is A Many Splendored Thing,Love is a many splendored thing
04672,Wings,My Love,And when I go away I know
04673,Frank Sinatra,"New York, New York",Start spreading the news I'm
04674,Beatles,The Long And Winding Road,The long and winding road
04675,Santa Esmeralda,You'Re My Everything,You're my everything
04676,Lionel Richie,All Night Long,Well my friends the time has
04677,Gilbert O’Sullivan,Alone Again,In a little while from now...
04678,Aerosmith,Amazing,I get the right ones out...
04679,Guess Who,American Woman,American Woman stay away
04680,Phil Collins,Another Day In Paradise,She calls out to the man on
04681,Bread,Aubrey,And Aubrey was her name...
04682,Bread,Baby I’M A Want You,Baby I’m a want you Baby I’m
04683,Take That,Back For Good,I guess now it’s time for me
04684,Eric Clapton,Bad Love,Oh what a feeling I get when
04685,Celine Dion,Because You Loved Me,For all those times you
04686,Michael Jackson,Ben,Ben the two of us need look
04687,Elton John,Bennie And The Jets,Hey kids shake it loose together...
04688,Michael Jackson,Black Or White,I took my baby on a Saturday...
04689,Elton John,Blue Eyes,Blue eyes baby’s got blue eyes...
04690,Patrick Hernandez,Born To Be Alive,Born born to be alive...
04691,Barry Manilow,Can’T Smile Without You,You know I can’t smile
04692,George Michael,Careless Whispers,I feel so unsure as I take
04693,James Taylor,Carolina In My Mind,In my mind I’m gone to Carolina...
04694,Kool And The Gang,Celebration,Ya hoo ya hoo Celebrate good
04695,Carly Simon,Coming Around Again,Baby sneezes momy pleases...
04696,Madonna,Crazy For You,Swaying on as the music starts...
04697,Elton John,Daniel,Daniel is travelin’ tonight on
04698,Diana Ross,Do You Know Where You’Re Goin’ To,Do you know where you’re
04699,Johnny Rivers,Do You Wanna Dance,Do you wanna dance and
04700,Elvis Presley,Don’T Be Cruel,"Ah, you know I can be found..."
04701,Elton John,Don’T Go Breaking My Heart,Don’t go breaking my heart...
04702,James Taylor,Don’T Let Me Be Lonely Tonight,Do me wrong do me right...
04703,Gloria Estefan,Don’T Wanna Lose You,Sometimes it’s hard to make
04704,Richie Valens,Donna,Oh Donna Oh Donna...
04705,Paul McCartney,Ebony And Ivory,Ebony and ivory...
04706,Bryan Adams,Everything I Do (I Do It For You),Look into my eyes you will see...
04707,James Taylor,Fire And Rain,Just yesterday mornin’...
04708,Bee Gees,First Of May,When I was small...
04709,Elton John,Friends,I hope the day will be a lighter...
04710,Elton John,Goodbye Yellow Brick Road,When are you gonna come down...
04711,Hollies,He Ain’T Heavy He’S My Brother,The road is long...
04712,Michael Jackson,Heal The World,There’s a place in your heart...
04713,Brian Adams,Heaven,"Oh, Thinkin’ about all our"
04714,Beatles,Hey Jude,"Hey Jude, don’t make it bad..."
04715,Toni Braxton,How Could An Angel Break My Heart,I heard he sang a lullaby...
04716,Bee Gees,How Deep Is Your Love,I know your eyes in the
04717,Tony Benett,I Left My Heart In San Francisco,The loveliness of Paris...
04718,Bob Marley,I Shot The Sheriff,I shot the sheriff...
04719,Barry Manilow,I Write The Songs,I’ve been alive forever...
04720,Jackson 5,I’Ll Be There,You and I must make a pact...
04721,Dionne Warwick,I’Ll Never Fall In Love Again,What do you get when you
04722,Frank Sinatra,I’Ve Got You Under My Skin,I’ve got you under my skin...
04723,Celine Dion e Bee Gees,Immortality,So this is who I am and this is all I...
04724,Whitesnake,Is This Love,I should have known better...
04725,Stevie Wonder,Isn’T She Lovely,Isn’t she lovely isn’t she
04726,Stephen Bishop,It Might Be You,Time... I’ve been passing time...
04727,Roxette,It Must Have Been Love,It must have been love
04728,Carpenters,It’S Gonna Take Some Time,It’s gonna take some time
04729,Supertramp,It’S Raining Again,It’s raining again oh no my love’s...
04730,Carole King,It’S Too Late,Stayed in bed all mornin’ just
04731,Elvis Presley,Kiss Me Quick,"Mmm, Kiss me quick..."
04732,Chris de Burg,Lady In Red,I’ve never seen you looking
04733,Doors,Light My Fire,You know that it would be untrue...
04734,Nazareth,Love Hurts,Love hurts love scars love wounds...
04735,Bread,Make It With You,"Hey, have you ever tried..."
04736,Barry Manilow,Mandy,I remember all my life...
04737,Bee Gees,Massachusetts,Feel I’m going back to
04738,Madonna,Material Girl,Some boys kiss me some
04739,Beatles,Michelle,"Michelle, ma belle..."
04740,Mariah Carey,My All,I’m thinking of you...
04741,Stevie Wonder,My Cherie Amour,La la... My cherie amour...
04742,Frank Sinatra,Night And Day,Night and day you are the one...
04743,Bee Gees,Nights On Broadway,Here we are...
04744,Elton John,Nikita,Hey Nikita is it cold...
04745,Annie Lennox,No More I Love You,I used to be lunatic from the
04746,Paul McCartney,No More Lonely Nights,I can wait another day until I
04747,Richard Marx,Now And Forever,Whenever I’m weary...
04748,Nikka Costa,On My Own,Sometimes I wonder where
04749,U2,One,Is it gettin’ better or do you
04750,Whitney Houston,One Moment In Time,Each day I live I want to be...
04751,Phil Collins,One More Night,One more night...
04752,Carpenters,Only Yesterday,After long enough of being alone...
04753,John Denver e P. Domingo,Perhaps Love,Perhaps love is like a resting
04754,Madonna,Physical,I’m sayin’ all the things that
04755,Brian Adams,Please Forgive Me,It still feels like our first night...
04756,Carpenters,Please Mr. Postman,Oh yes wait a minute Mister
04757,Roy Orbison,Pretty Woman,Pretty woman walking down
04758,Paul Anka,Puppy Love,And they called it puppy love...
04759,Aphrodite’s Child,Rain And Tears,Rain and tears are the same...
04760,Boney M.,Rivers Of Babylon,By the rivers of Babylon
04761,B.J. Thomas,Rock And Roll Lullaby,She was just sixteen and all
04762,Michael Jackson,Rock With You,Girl close your eyes...
04763,Police,Roxanne,Roxanne... You don’t have
04764,Elton John,Sacrifice,It’s a human sign when things
04765,Scott Mackenzie,San Francisco,If you’re going to San Francisco...
04766,Zucchero,Senza Una Donna,I change my world I wanna
04767,Patrick Swayze,She’S Like The Wind,She’s like the wind through
04768,Elton John,Skyline Pigeon,Turn me loose from your hands...
04769,Platters,Smoke Gets In Your Eyes,They asked me how I knew...
04770,Beatles,Something,Something in the way she
04771,Roxette,Spending My Time,What’s the time...
04772,Bee Gees,Stayin’ Alive,Well you can tell by the way I use...
04773,Lionel Richie,Still,Lady morning’s just a
04774,Frank Sinatra,Strangers In The Night,Strangers in the night exchanging...
04775,Lionel Richie,Stuck On You,Stuck on you...
04776,Olivia N. John e J. Travolta,Summer Nights,Summer loving had me a blast...
04777,U2,Sunday Bloody Sunday,I can’t believe the news today...
04778,Elvis Presley,Surrender,When we kiss my heart’s on fire...
04779,Elvis Presley,Suspicious Minds,We’re caught in a trap I can’t
04780,James Taylor,Sweet Baby James,There is a young cowboy he
04781,Berlin,Take My Breath Away,Watching every motion...
04782,Double,The Captain Of Her Heart,It was way past midnight...
04783,Bread,The Diary,I found her diary underneath
04784,Michael Jackson,The Girl Is Mine,Ev’ry night she walks right
04785,Platters,The Great Pretender,"Oh yes, I’m the great pretender..."
04786,Bread,The Guitar Man,Who draws the crowd and plays...
04787,Abba,The Winner Takes It All,I don’t wanna talk...
04788,Michael Jackson,Thriller,It’s close to midnight...
04789,Cyndi Lauper,Time After Time,Lyin’ in my bed...
04790,Lulu,To Sir With Love,Those schoolgirl days...
04791,Bee Gees,Too Much Heaven,Nobody gets too much heaven
04792,C.C.R.,Travelin’ Band,Seven-thirty-seven comin’ out...
04793,Beatles,Twist And Shout,Well shake it up baby twist
04794,Toni Braxton,Unbreak My Heart,Don’t leave me in all this pain...
04795,C.C.R.,Up Around The Bend,There’s a place up ahead and
04796,Spice Girls,Wanna Be,If you want my future forget
04797,Queen,We Are The Champions,I’ve paid my dues time after time...
04798,U.S.A. For Africa,We Are The World,There comes a time when we...
04799,Irene Cara,What A Feeling,"First, When there’s nothing..."
04800,Marvin Gaye,What’S Going On,"Mother, mother, there’s too"
04801,Percy Sledge,When A Man Loves A Woman,When a man loves a woman...
04802,Celine Dion e C. Griffin,When I Fall In Love,When I fall in love It will be forever...
04803,Mariah Carey e W. Houston,When You Believe,Many nights I prayed...
04804,U2,With Or Without You,See the stone set in your eyes...
04805,John Lennon,Woman,"Woman, I can hardly express..."
04806,Al Stewart,Year Of The Cat,On a morning from a
04807,Christie,Yellow River,So long boy you can take
04808,Stevie Wonder,"Yester-Me, Yester-You, Yesterday","Yester-me, yester-you, yesterday..."
04809,Stevie Wonder,You Are The Sunshine Of My Life,You are the sunshine of my life...
04810,Elvis Presley,You’Ve Lost That Lovin’ Feelin’,You never close your eyes...
04811,Celine Dion,All By Myself,When I was young I...
04812,Gloria Estefan,Anything For You,Anything for you though...
04813,Tracy Chapman,Baby Can I Hold You,Sorry is all that you...
04814,Britney Spears,Baby One More Time,Oh baby baby how was...
04815,Celine Dion & Peabo Bryson,Beauty And The Beast,Uh uh… Tale as old as...
04816,Red Hot Chilli Peppers,Californication,Psychic spies from...
04817,Elton John,Can You Feel The Love Tonight,There's a calm surrender...
04818,Elton John & George Michael,Don'T Let The Sun Go Down On Me,I can't light no more...
04819,Five,Don'T Wanna Let You Go,Uh uh uh… Don't...
04820,Bangles,Eternal Flame,Close your eyes give...
04821,Kenny Loggins,Footloose,I been workin' so hard…
04822,Shania Twain & Backstreet Boys,From This Moment On,From this moment life...
04823,Christina Aguilera,Genie In A Bottle,I feel like I've been...
04824,Ray Charles,Georgia On My Mind,Georgia Georgia the...
04825,Christina Aguilera,I Turn To You,When I'm lost in the rain…
04826,N' Sync,I Want You Back,You're all I ever wanted…
04827,Heart,If Looks Could Kill,Caught you in the act...
04828,Jennifer Lopez,If You Had My Love,If you had my love and...
04829,Edson Cordeiro,It'S Raining Men,Humidity is rising...
04830,Madonna,Like A Prayer,Life is a mystery…
04831,Doobie Brothers,Listen To The Music,Don't you feel it growin'….
04832,Roxette,Listen To Your Heart,I know there's somethin'…
04833,Ricky Martin,Livin' La Vida Loca,She's into superstition…
04834,Lara Fabian,Love By Grace,Uh uh uh… I remember...
04835,John Paul Young,Love Is In The Air,Love is in the air...
04836,Suzanne Vega,Luka,My name is Luka…
04837,Lou Bega,Mambo No. 5,Ladies and gentlemen…
04838,Shania Twain,Man (I Feel Like A Woman),Let's go girls….
04839,The Marmalade,Reflections Of My Life,The changing of...
04840,Rod Stewart,Sailing,I am sailing I am sailing….
04841,Hanson,Save Me,Loving you like I never...
04842,Kenny Rogers,She Believes In Me,While she lays sleeping…
04843,Backstreet Boys,Show Me The Meaning Of Being Lonely,Show me the meaning...
04844,Toni Braxton,Spanish Guitar,A smoky room a small...
04845,Phil Collins,Take A Look At Me Now (Against  All Odds),How can I just let you...
04846,Joe Cocker & Jennifer Warnes,Up Where We Belong,Who knows what...
04847,Spice Girls,Viva Forever,Do you still remember...
04848,Edson Cordeiro,Y.M.C.A.,Young man….
04849,Debbie Boone,You Light Up My Life,So many nights I'd sit...
04850,Alanis Morissette,You Oughta Know,I want you to know...
04851,Beatles,A Hard Day'S Night,It's been a hard day's...
04852,Billy Ray Cyrus,Achy Breaky Heart,You can tell the world...
04853,Janet Jackson,Again,I heard from a friend...
04854,Lenny Kravitz,Again,I' ve been searching for...
04855,Sheryl Crow,All I Wanna Do,Hit it this ain't no disco...
04856,O-Town,All Or Nothing,Oooh...
04857,Ace of Base,All That She Wants,She leads a lonely life...
04858,Bon Jovi,Always,This Romeo is bleeding...
04859,Robbie Williams,Angels,I sit and wait...
04860,Rolling Stones,Angie,"Angie, Angie..."
04861,Christopher Cross,Arthur'S Theme (Best That You Can Do),Once in your life...
04862,Backstreet Boys,As Long As You Love Me,Al though loneliness...
04863,Brian McKnight,Back At One,It's undeniable that we...
04864,Aqua,Barbie Girl,Hi ya Barbie Hi Ben...
04865,Cher,Believe,"After love, after love..."
04866,Robbie Williams,Better Man,Send someone to love...
04867,Meredith Brooks,Bitch,I hate the world today...
04868,Carl Perkins,Blue Suede Shoes,Well it's one for the...
04869,Doors,Break On Through,You known the day...
04870,Supertramp,Breakfast In America,Take a look at my...
04871,Mr. Mister,Broken Wings,"Baby, don't understand..."
04872,Blondie,Call Me,Color me your color...
04873,Elton John,Candle In The Wind,Goodbye England's rose...
04874,Lenny Kravitz,Can'T Get You Off My Mind,Life is just a lonely...
04875,Bryan Adams,Can'T Stop This Things We Started,Yeah...
04876,Eric Clapton,Change The World,If I can reach the stars...
04877,Abba,Chiquitita,Chiquitita tell me what's...
04878,Depeche Mode,Condemnation,Condemnation Tried...
04879,Aerosmith,Crazy,Come here baby...
04880,Jennifer Paige,Crush,Ah crush...
04881,Britney Spears,Don'T Let Me Be The Last To Know,Oooh yeah...
04882,Beatles,Don'T Let Me Down,Don't let me down...
04883,No Doubt,Don'T Speak,You and me We used...
04884,Madonna,Don'T Tell Me,Don't tell me to stop...
04885,Train,Drops Of Jupiter (Tell Me),Now that she's back...
04886,U2,Elevation (Tomb Raider Mix),Elevation...
04887,Paul Young,Everytime You Go Away,Hey if we can solve...
04888,Alan Parson Project,Eye In The Sky,Don't think sorry's...
04889,George Michael,Faith,"Well, I guess it would be..."
04890,Alicia keys,Fallin',I keep on fallin' in and...
04891,Uncle Kracker,Follow Me,You don't know how...
04892,Beatles,Free As A Bird,Free...
04893,Madonna,Frozen,You only see...
04894,Peter Cetera,Glory Of Love,Tonight it's very clear...
04895,Beach Boys,Good Vibration,"I, I love the colorful..."
04896,Samantha Mumba,Gotta Tell You,"Yeah, yeah, yeah..."
04897,Whitney Houston,Greatest Love Of All,I believe the children...
04898,Bryan Adams,Have You Ever Really Loved A Woman,To really love a woman...
04899,Blondie,Heart Of Glass,Once I had a love and...
04900,Lionel Richie,Hello,I' ve been alone with...
04901,Simple Red,Holding Back The Years,Holding back the years...
04902,Madonna,Holiday,Holiday celebrate...
04903,Michael Bolton,How Am I Supposed To Live Without You,I could hardly believe it...
04904,Bee Gees,How Can You Mend A Broken Heart,I can think of younger...
04905,Whitney Houston,How Will I Know,There's a boy I known...
04906,Dido,Hunter,With one light on in...
04907,Billy Swan,I Can Help,If you've got a problem...
04908,Rolling Stones,(I Can'T Get No) Satisfaction,I can't get no...
04909,Aerosmith,I Don'T Want To Miss A Thing,I could stay awake just...
04910,James Brown,(I Got You) I Feel Good,Whoa! ...
04911,Savage Garden,I Knew I Loved You,Oooh...
04912,Gazebo,I Like Chopin,Chopin...
04913,Klymaxx,I Miss You,Though I heard your...
04914,Carpenters,I Need To Be In Love,The hardest thing I've...
04915,Diana King,I Say A Little Prayer,Say a little prayer for...
04916,Mariah Carey,I Still Believe,"Na, na, yea-yeah..."
04917,Macy Gray,I Try,"Games, changes and..."
04918,Jessica Simpson,I Wanna Love You Forever,Heh heh Oooh...
04919,Match Box Twenty,If You'Re Gone,I think I've already lost...
04920,10 cc,I'M Not In Love,I'm not in love so don't...
04921,George Benson,In Your Eyes,I think I finally know you...
04922,Alanis Morissette,Ironic,Hey yeah yeah yeah...
04923,Bon Jovi,It'S My Life,This ain't a song for...
04924,Billy Joel,It'S Still Rock 'N' Roll To Me,What's the matter with...
04925,George Michael,Jesus To A Child,Kindness in your eyes...
04926,Van Halen,Jump,"I get up, and nothing..."
04927,Rolling Stones,Jumpin' Jack Flash,Wah-choo! ...
04928,Billy Joel,Just The Way You Are,Don't go changing to try...
04929,Amii Stewart,Knock On Wood,I don't want to lose you...
04930,Guns n' Roses,Knockin' On Heaven'S Door,Oooh...
04931,Derek & The Dominos,Layla,What'll you do when...
04932,Jennifer Lopez,Let'S Get Loud,Ya te llego...
04933,Bon Jovi,Livin' On A Prayer,"Once upon a time, not..."
04934,REM,Losing My Religion,"Oh, life is bigger..."
04935,Air Supply,Lost In Love,I realize the best part...
04936,Beatles,Love Me Do,"Love, love me do you..."
04937,Queen,Love Of My Life,"Love of my life, you've..."
04938,A Teens,Mamma Mia,I've being cheated by...
04939,Santana Feat. The product G&B,Maria Maria,Ladies and gent's
04940,Dave McLean,Me And You,Give me only a smile...
04941,Barbra Streisand,Memory,Midnight...
04942,Diana Ross,Missing You,Since you've been away...
04943,Crash Test Dummies,Mmm Mmm Mmm Mmm,Once there was this...
04944,Michael Jackson,Music And Me,We've been together...
04945,Billy Joel,My Life,Oooh...
04946,Pholhas,My Mistake,There was a place...
04947,Mariah Carey,Never Too Far,You're with me 'til the...
04948,Dionne Warwick,No Night'S So Long,An old friend told me...
04949,The Chi-Lites,Oh Girl,Oh girl...
04950,Joan Osborne,One Of Us,Eh yeah yeah yeah...
04951,Britney Spears,Oops! I Did It Again,Oooh yeah...
04952,Red Hot Chili Peppers,Otherside,"How long, how long will..."
04953,KC & The Sunshine Band,Please Don'T Go,"Babe, I love you so..."
04954,U2,Pride  (In The Name Of Love),One man come in the...
04955,Ricky Martin with Meja,Private Emotion (With Meja),Every endless night has...
04956,Backstreet Boys,Quit Playing Games (With My Heart),"Baby, oh..."
04957,Gloria Estefan,Reach,Some dreams live on in...
04958,Robbie Williams,Road To Mandalay,Save me from drowing...
04959,Bill Halley & The Comets,Rock Around The Clock,"One, two, three o'clock..."
04960,Rolling Stones,Ruby Tuesday,She would never...
04961,Christopher Cross,Sailing,But it's not far down...
04962,Red Hot Chili Peppers,Scar Tissue,Scar tissue that I wish...
04963,Madonna,Secret,Things haven't been...
04964,Elvis Costello,She,She maybe the face...
04965,Beatles,She Loves You,She loves you yeah...
04966,Alien Ant Farm,Smooth Criminal,Ough! ...
04967,Queen,Somebody To Love,Can anybody find be...
04968,Gary Moore,Still Got The Blues,Used to be so easy to...
04969,Cher,Strong Enough,I don't need your...
04970,A Teens,Super Trouper,Super trouper beams...
04971,Destiny's Child,Survivor,Now that you are out...
04972,Madonna,Take A Bow,"Take a bow, the night..."
04973,A-Ha,Take On Me,We're talking away...
04974,Dido,Thank You,My tea's gone cold...
04975,Dionne Warwick,That'S What Friends Are For,And I never thought I'd...
04976,Backstreet Boys,The Call,Hello...
04977,Roxette,The Look,One two three four...
04978,Barry  Manilow,The Old Songs,Candles burning...
04979,Billy Joel,The River Of Dreams,Oooh oooh oooh...
04980,Queen,The Show Must Go On,"Empty spaces, what..."
04981,Blondie,The Tide Is High,The tide is high but I'm...
04982,Elvis Presley,The Wonder Of You,When no one else can...
04983,Celine Dion,To Love You More,Take me back into the...
04984,Roberta Flack & Peabo Bryson,Tonight I Celebrate My Love For You,Tonight I celebrate my...
04985,Bonnie Tyler,Total Eclipse Of The Heart,Turn around...
04986,Red Hot Chili Peppers,Under The Bridge,Sometimes I feel like...
04987,Billy Joel,Uptown Girl,Oh oh oh oh oh oh...
04988,Queen,We Will Rock You,Buddy you're a boy...
04989,Backstreet Boys,We'Ve Got It Going On,Everybody groove...
04990,Offspring,Why Don'T You Get A Job?,My friend's got a...
04991,Rolling Stones,Wild Horses,Childhood living is...
04992,Creed,With Arms Wide Open,Well I just heard the...
04993,Tears for Fears,Woman In Chains,You better love loving...
04994,Oasis,Wonderwall,Today is gonna be...
04995,Beatles,Yellow Submarine,In the town where...
04996,Bon Jovi,You Give Love A Bad Name,Shot through the heart...
04997,Alanis Morissette,You Learn,"Oooh, oooh-do, do..."
04998,Phil Collins,You'Ll Be In My Heart,Come stop your crying...
04999,James Taylor,You'Ve Got A Friend,When you're down and...
05000,The Cranberries,Zombie,Another head hangs...
05001,Ishiara Yujiro,Akai Hankati,Akashiano hanamo...
05002,Monta e Burazazu,Dancing All Night,Amai toki hazumu kokoro...
05003,Mori Shiniti,Erimo Misaki,Kitano mati dewa mou...
05004,Yashiro Aki,Funa Uta,Osake wa nurume...
05005,Ishiara Yujiro e Makimura Junko,Guinza No Koino Monogatari,(M) - Kokorono sokomade...
05006,Sem Massao,Hoshikague No Waltz,Wakareru koto wa...
05007,Itsuki Hiroshi,Izakaya,(H) - Moshimo kiraide...
05008,Itsuwa Mayumi,Kanda Gawa,Anatawa mou...
05009,Nagabuchi Tsuyoshi,Kampai,Katai kizumani omoi o...
05010,Kayama Yuzo,Kimi To Itsumademo,Futari yuuyami ga...
05011,Sem Massao,Kita Guni No Haru,Shira kaba aozora...
05012,Miyako Harumi,Kita No Yado Kara,Anata kawari wa nai...
05013,Hosokawa Takashi,Kita Sakaba,Kita no sakaba doori...
05014,Toba Itiro,Kiyodai Bune,Nanimo tanimani inotino...
05015,Itsuwa Mayumi,Koibitoyo,Karehatiru yuugure...
05016,Hosokawa Takashi,Kokoro Nokori,Watashi bakaio ne...
05017,Funaki Kazuo,Kou Kou Sannensei,Akai yuuhiga kousha...
05018,Watari Tetsuya,Kutinashi No Hana,Imade wa yubiwa mo...
05019,Murata Hideo,Muho Matsuno Issho,Kokura umarede genkai...
05020,Kobayashi Akira,Mukashi No Namaede Deteimasu,Kyoto ni irutokya...
05021,Itsuki Hiroshi,Nagara Gawa Enka,Mizu ni kirameku kagari...
