codigo,artista,musica,letra
01138,Márcia,Veneno,Mas o que me faz chorar
01139,Padre Fábio de Mello,Vida,Pelas ruas da cidade
01140,Nelson Gonçalves,Violão,Violão
01141,Waldick Soriano,A Carta,Minha querida saudações
01142,Ivete Sangalo,Agora Eu Já Sei,Duvidava não entendia quando alguém
01143,Chicas,Caras E Bocas,Pra que conteúdo se a casca é bacana
01144,Papas na Língua,Disco Rock,Ela não pensou não acreditou
01145,Paula Fernandes e Almir Sater,Jeito De Mato,De onde é que vem esses olhos tão tris
01146,Marisa Monte,Mais Uma Vez,Mais uma vez eu vou te deixar
01147,Os Thomés,Meu Amor,Senti o vazio e foi tanta dor
01148,Rionegro e Solimões,Moído De Paixão,Saudade tá no meu olhar
01149,Skank,Noites De Um Verão Qualquer,Noites de um verão qualquer
01150,Agnela,Podia Ser,Não sei porque você não ...
01151,Daniel,Pra Sempre Te Amar,Não somos duas crianças
01152,Victor e Leo,Sonhos E Ilusôes Em Mim,No fraco pôr-do-sol me fortaleço
01153,Aliados,Sorrindo,Ontem um sonho acabou
01154,Jorge e Mateus,Traz Ela De Volta Pra Mim,Meu bem o que aconteceu
01155,Maria Bethânia,Um Jeito Estúpido De Te Amar,Eu sei que eu tenho um jeito
01156,Cazuza,Vai A Luta,Eu li teu nome num cartaz
01157,Maria Cecília e Rodolfo,Você De Volta,Tudo que eu quero é você de volta
01158,César e Paulinho,Você É Tudo Que Pedi Pra Deus,Na Fazenda da Esperança mora o meu a
01159,Leonardo,Volte Amor,Não sei o que é que eu faço sem o seu
01160,Jorge e Matheus,Vou Fazer Pirraça,Vou pagar promessa de joelhos
01161,Udora,A Falta (Que Me Faz),Eu vou me dou te abro uma porta
01162,Beth Carvalho,Amor De Verdade,Tem que ser agora ou nunca mais
01163,Jorge Vercillo,Devaneio,Mergulhei no mar e não dava pé
01164,Carlos José,Esmeralda,Vestida de noiva com véu e grinalda
01165,Alcione,Eu Vou Pra Lapa,É ela a dama da noite...
01166,Guilherme e Santiago,Franguinho Na Panela,O recanto onde eu moro é uma linda
01167,Chico Buarque,Gota D'Água,Já lhe dei meu corpo
01168,Zé Ramalho,Jardim Das Acácias Ii,Nada vejo por esta cidade
01169,Pique Novo,Ligando Os Fatos,Pode até falar que nada aconteceu
01170,Paralamas do Sucesso,Meu Sonho,Pode ser que meu sonho seja assim
01171,Nelson Gonçalves,Meu Vício É Você,Boneca de trapo pedaço da vida
01172,Bruno e Marrone,Não Tente Me Impedir,Dundêrarium dundêrarium dundêrarium
01173,Cauby Peixoto,Ninguém É De Ninguém,Ninguém é de ninguém na vida tudo pas
01174,Strike,No Veneno,Ela adora me odiar não me dá trela
01175,CPM 22,Nossa Música,Lembro que disse
01176,Udora,Pelo Menos Hoje,Hoje pelo menos hoje não há mais
01177,Carlos José,Queria,Queria que você fosse o meu último
01178,Wanderléia,Te Amo,Quisera ter a coragem de dizer
01179,Ana Carolina,Vai,Espera aí
01180,Grupo Tradição,Você Não Vale Um Real,Você não vale um real mas pra mim não
01181,Zé Geraldo,A Fé,Tá na prece do cristão na festa do pa
01182,Ornella Di Santis e Belo,Agenda,Sei que pra você eu sou apenas mais um
