code,name,Artista,Musica,Letra
03868,03868.mp4,É O Tchan,"Dança Do Põe, Põe",Olha o tchan que já chegou
03869,03869.mp4,Tim Maia,Descobridor Dos Sete Mares,Uma luz azul me guia com a firmeza e
03870,03870.mp4,Exaltasamba,Doidinho,Vem menina com teu sabor e me beija
03871,03871.mp4,Lobão,"Essa Noite, Não",A cidade enlouquece sonhos tortos
03872,03872.mp4,Altemar Dutra,Estão Voltando As Flores,Vê...estão voltando as flores vê
03873,03873.mp4,Gian e Giovani,Eu Busco Uma Estrela,No que está pensando? Pergunta o
03874,03874.mp4,Leno e Lílian,Eu Não Sabia Que Você Existia,"Quando eu te conheci meu bem, não"
03875,03875.mp4,Zezé Di Camargo e Luciano,Eu Só Penso Em Você,Maybe I didn´t love you quite as often
03876,03876.mp4,Amelinha,Foi Deus Quem Fez Você,Foi Deus que fez o céu o rancho das
03877,03877.mp4,Almir Rogério,Fuscão Preto,Me disseram que ela foi vista com
03878,03878.mp4,Wando,Gostosa,É tão gostosa ela é toda faceira
03879,03879.mp4,Raimundos,I Saw You Saying,Reconheci a Madonna ali parada
03880,03880.mp4,Alceu Valença,La Belle De Jour,Ah! eh! ah! eh! La belle de jour
03881,03881.mp4,Roberto Carlos,Lobo Mau,Eu sou do tipo que não gosta
03882,03882.mp4,Karametade,Louca Sedução,Com você eu fiz amor eu fiz paixão
03883,03883.mp4,Agepê,Moça Criança,O seu andar tem jeito de moça
03884,03884.mp4,Legião Urbana,Monte Castelo,Ainda que eu falasse a língua
03885,03885.mp4,Mastruz Com Leite,Moto Táxi,Tenho uma moto táxi pra fazer
03886,03886.mp4,J.B. Samba,Na Palma Da Mão,Um bom pagode começa assim com
03887,03887.mp4,Claudinho e Buchecha,Nosso Sonho,Gatinha quero te encontrar vou falar
03888,03888.mp4,Wanderley Cardoso,O Bom Rapaz,Parece que eu sabia que hoje era o
03889,03889.mp4,Cidade Negra,O Erê,uh uh uh uh uh uh uh uh pra
03890,03890.mp4,Barão Vermelho,O Poeta Está Vivo,Baby compra o jornal e vem ver o sol
03891,03891.mp4,Banda Cheiro de Amor,Pega No Balanço,É bom demais fazer amor dividir
03892,03892.mp4,Zizi Possi,Per Amore,Io conosco la tua estrada ogni passo
03893,03893.mp4,Ara Ketu,Pipoca,O Araketu o Araketu quando toca
03894,03894.mp4,Jessé,Porto Solidão,Se um veleiro repousasse na palma
03895,03895.mp4,Netinho,Pra Te Ter Aqui,Me sinto tão sozinho por que não
03896,03896.mp4,Chitãozinho e Xororó,Pura Emoção,Ela é mistério nesse jeito sério pode
03897,03897.mp4,Raul Seixas,Rock Das Aranhas,Subi no muro do quintal e vi uma
03898,03898.mp4,Sensação,Sentimento Nu,É...tudo era azul sentimento nu um
03899,03899.mp4,Milton Guedes,Sonho De Uma Noite De Verão,Sonho de uma noite de verão eu
03900,03900.mp4,Banda Eva,Vem Meu Amor,Quando te vejo paro logo em teu
03901,03901.mp4,Tião Carreiro E Pardinho,Amargurado,O que é feito daqueles beijos que eu
03902,03902.mp4,Grupo Feitiço,Amor Perfeito,Fecho os olhos pra não ver passar
03903,03903.mp4,Alceu Valença,Anunciação,Na bruma leve das paixões
03904,03904.mp4,Katinguelê,Apaixonadamente,"Quando, te encontrei chorando"
03905,03905.mp4,Roberto Carlos,As Canções Que Você Fez Pra Mim,Hoje eu ouço as canções que você
03906,03906.mp4,Netinho,Barracos (Escombros),Pra quem mora lá no morro
03907,03907.mp4,Sandy e Júnior,Boca A Boca,Foi assim que aconteceu nossa
03908,03908.mp4,Zezé Di Camargo e Luciano,Cada Volta É Um Recomeço,Mais uma vez
03909,03909.mp4,Asa De Águia,Dança Da Manivela,Dança da manivela
03910,03910.mp4,Paulo Ricardo,Dois,Quando você disse nunca mais
03911,03911.mp4,Leandro e Leonardo,Essas Mulheres,Essas mulheres nos tiram e nos dão
03912,03912.mp4,É O Tchan,Estátua,Venha comigo requebrar
03913,03913.mp4,Roberto Carlos,Falando Sério,Falando sério
03914,03914.mp4,Sem Compromisso,Felicidade Escondida,Deixo um beijo de adeus
03915,03915.mp4,Sérgio Reis,Fui Pra Casa Da Vizinha,Tomei uma cerveja no bar da
03916,03916.mp4,Léo Jaime,Gatinha Manhosa,"Meu bem, já não precisa"
03917,03917.mp4,Chico Buarque,Gente Humilde,Tem certos dias em que eu penso em
03918,03918.mp4,Wilma Bentivegna,Hino Ao Amor (Hymme A L'Amour),Se o azul do céu escurecer
03919,03919.mp4,Luis Miguel,La Barca,Dizen que la distancia es el olvido
03920,03920.mp4,Banda Eva,Leva Eu,"Oh! Leva eu eva, eva"
03921,03921.mp4,Belchior,Medo De Avião,Foi por medo de avião
03922,03922.mp4,Renato e Seus Blue Caps,Menina Linda,Ah! Deixa essa boneca faça-me
03923,03923.mp4,Soweto,Momentos,Deixa o nosso mundo se encontrar
03924,03924.mp4,Celine Dion,My Heart Will Go On,Every night in my dreams I see you
03925,03925.mp4,Chitãozinho e Xororó,O Homem De Nazaré,"Ei, tá chegando o ano dois mil"
03926,03926.mp4,Altemar Dutra,O Trovador,Sonhei que eu era um dia um
03927,03927.mp4,Banda Cheiro de Amor,Olha Eu Aí,Olha
03928,03928.mp4,Gonzaguinha,Ponto De Interrogação,Por acaso algum dia você se
03929,03929.mp4,Sensação,Preciso Desse Mel,Quando a sua beleza pisou
03930,03930.mp4,Roberto Carlos,Quando,Quando você se separou de mim
03931,03931.mp4,Cleiton e Camargo,Quando Um Grande Amor Se Faz,Todo amor parece no começo um
03932,03932.mp4,Ciro Monteiro,Se Acaso Você Chegasse,Se acaso você chegasse e no meu
03933,03933.mp4,Chitãozinho e Xororó,Se Deus Me Ouvisse,Ah! Se Deus me ouvisse e mandasse
03934,03934.mp4,Luís Carlos,Sempre Há Saída,Quantas vezes eu te pedi pra se
03935,03935.mp4,Deborah Blando,Somente O Sol,Somente o sol você e eu
03936,03936.mp4,Peninha,Sonhos,Tudo era apenas uma brincadeira
03937,03937.mp4,Caetano e Gal Costa,Sorte,Tudo de bom que você me fizer
03938,03938.mp4,Bruno e Marrone,Te Amo E Não Te Quero,Pegue tudo aquilo que é seu
03939,03939.mp4,Lulu Santos,Tempos Modernos,Eu vejo a vida melhor no futuro
03940,03940.mp4,Zezé Di Camargo e Luciano,Vivendo Por Viver,Sem motivo vou vivendo por aí
03941,03941.mp4,Nara Leão,A Banda,Eu estava à toa na vida o meu
03942,03942.mp4,Banda Cheiro de Amor,A Dança Da Sensual,Veja a nova dança que eu vou te
03943,03943.mp4,Os Vips,A Volta,Estou guardando o que há de bom
03944,03944.mp4,Banda Cheiro de Amor,Abre Coração,"Meu amor, estou tão sozinha"
03945,03945.mp4,Dalvan,Agora Ou Nunca,Agora ou nunca vem me abraçar
03946,03946.mp4,Moacyr Franco,Ainda Ontem Chorei De Saudade,Você me pede na carta que eu
03947,03947.mp4,Caetano Veloso,Alegria Alegria,"Caminhando contra o vento, sem"
03948,03948.mp4,Banda Eva,Arerê,Tudo o que eu quero nessa vida toda
03949,03949.mp4,Ivan Lins,Bandeira Do Divino,Os devotos do divino vão abrir sua
03950,03950.mp4,Lulu Santos,Cadê Você,Onde está você é o que eu quero
03951,03951.mp4,Fábio Júnior,Desejos E Delírios,Amor é uma palavra que enfeita
03952,03952.mp4,É O Tchan,"Disque Tchan (Alô, É O Tchan )",Pega no compasso no passo dessa
03953,03953.mp4,Art Popular,Pétalas De Rosa,Ah ah...ah ah...ah ah...
03954,03954.mp4,Ronaldo E Os Barcelos,Feliz Aniversário,"Feliz aniversário meu amor, espero"
03955,03955.mp4,Os Magníficos,Fora De Mim,"Pensei demais, e resolvi tirar você"
03956,03956.mp4,Rádio Táxi,Garota Dourada,Navegando no teu mar flutuando no
03957,03957.mp4,Biquíni Cavadão,Janaína,Janaína acorda todo dia às quatro
03958,03958.mp4,Rick Martin,La Copa De La Vida,La vida es pura pasion hay que
03959,03959.mp4,Os Magníficos,Meu Tesão É Você,"Quando você me olha, amor fico"
03960,03960.mp4,Martinho da Vila,Minha E Tua,Deus abençoa por que somos o sol
03961,03961.mp4,Só Pra Contrariar,Minha Metade,Será que a gente entrega
03962,03962.mp4,Soweto,Mundo De Oz,A alegria brilhou no olhar logo que
03963,03963.mp4,Sandra De Sá E Tim Maia,Não Tem Saída,Eu errei... Mas jogue a primeira
03964,03964.mp4,Djavan,Nem Um Dia,Um dia frio um bom lugar pra ler
03965,03965.mp4,Os Magníficos,O Homem Ideal,Só quero um homem que me dê
03966,03966.mp4,Carlos Gonzaga,Oh Carol,"Oh Carol, sem o teu amor tudo é"
03967,03967.mp4,Kleiton e Kledir,Paixão,"Oh...oh,oh,oh,oh,oh,oh"
03968,03968.mp4,Geraldo Vandré,Pra Não Dizer Que Não Falei Das Flores,Caminhando e cantando e seguindo
03969,03969.mp4,Engenheiros do Hawaii,Pra Ser Sincero,Pra ser sincero não espero de você
03970,03970.mp4,Gian e Giovani,Que Raio De Amor É Esse,Que raio de amor é esse que raio
03971,03971.mp4,Soweto,Refém Do Coração,Sempre alguém me desperta cio e
03972,03972.mp4,Bruno e Marrone,Rei Do Rodeio,"Eu sou peão, sou cabra macho bom"
03973,03973.mp4,Biafra,Rua Ramalhete,Sem querer fui me lembrar de uma
03974,03974.mp4,Tom Jobim,Samba De Uma Nota Só,Eis aqui este sambinha feito de uma
03975,03975.mp4,Companhia do Pagode,Sanduíche,Tá chegando pra ficar todo mundo
03976,03976.mp4,Negritude Júnior,Saudade E Solidão,Tentei me encontrar no teu
03977,03977.mp4,Roberta Miranda,Sempre Mais,Sinto...você insiste em dizer
03978,03978.mp4,Ara Ketu,Tá Na Cara,Basta uma brisa da praia pra gente
03979,03979.mp4,Limão Com Mel,Toda Sua,Eu quero viajar no teu prazer e
03980,03980.mp4,Rádio Táxi,Um Amor De Verão,Um amor de verão tem um sol
03981,03981.mp4,O Rappa,A Feira,Ê dia de feira
03982,03982.mp4,Roberta Miranda,A Mulher Em Mim,Em meu coração os amores vem e
03983,03983.mp4,Banda Beijo,A Vida É Festa,Amor quero sentir o teu perfume
03984,03984.mp4,Terrasamba,Abc Do Terra,Você me disse que sabe sambar
03985,03985.mp4,Roberto Carlos,Abrazame Sí,Abrazame así
03986,03986.mp4,Ricardo Chaves,Acabou,Eu tenho andado meio preocupado
03987,03987.mp4,Os Magníficos,Adoro,Adoro...esse teu corpo quente
03988,03988.mp4,Bruno e Marrone,Alçapão,Você acha fácil chegar dizendo que
03989,03989.mp4,João Paulo e Daniel,As Coisas São Como São,As vezes quando a gente sonha
03990,03990.mp4,Ara Ketu,Aurora,"Como eu vou ficar, amor"
03991,03991.mp4,Molejo,Brincadeira De Criança,Acorda criançada
03992,03992.mp4,Paralamas do Sucesso,Busca Vida,Vou sair pra ver o céu
03993,03993.mp4,Angélica,Ciúme,Eu queria entender direito essa
03994,03994.mp4,Roberto Carlos,Corro Demais,Meu bem qualquer instante que eu
03995,03995.mp4,Soweto,Derê,"Derê, derê rê rê, derê rê rê rê"
03996,03996.mp4,Leandro e Leonardo,Deu Medo,Deu medo
03997,03997.mp4,Paralamas do Sucesso,Ela Disse Adeus,Ela disse adeus (let her get on with)
03998,03998.mp4,Grupo Kiloucura,Falando Sério,Só se eu fosse louco
03999,03999.mp4,Roberto Carlos,Fera Ferida,"Acabei com tudo, escapei com vida"
04000,04000.mp4,Ed Motta,Fora Da Lei,"Cidade nua, noite neon"
04001,04001.mp4,Lulu Santos,Hiper Conectividade,Acho que dessa vez eu vi algo
04002,04002.mp4,Banda Eva,Levada Louca,"Shake, shake, shake, shake, shake"
04003,04003.mp4,Terrasamba,Liberar Geral,Nada mal
04004,04004.mp4,Baby Consuelo,Menino Do Rio,Menino do rio
04005,04005.mp4,Donato E Estefano,Mi Dios Y Mi Cruz,Uh...uh
04006,04006.mp4,Chrystian e Ralf,Minha Gioconda,Do dia que nascemos e vivemos
04007,04007.mp4,Netinho,Paraíso,Sol de verão quando bate em minhas
04008,04008.mp4,Zeca Pagodinho,Posso Até Me Apaixonar,Gosto que me enrosco de um rabo de
04009,04009.mp4,Zezé Di Camargo e Luciano,Primeiro Amor,"Eu quero te ver, eu quero saber"
04010,04010.mp4,Barão Vermelho,Puro Êxtase,Toda brincadeira
04011,04011.mp4,Skank,Resposta,Bem mais que o tempo que nós
04012,04012.mp4,Placa Luminosa,Segredo,Hoje teu segredo é meu segredo
04013,04013.mp4,Chrystian e Ralf,Sensível Demais,Hoje eu tive medo
04014,04014.mp4,Só No Sapatinho,Só No Sapatinho,Ela chega vaidosa e sorridente
04015,04015.mp4,Leandro e Leonardo,Um Sonhador,Eu não sei pra onde vou
04016,04016.mp4,Fanzine,Uma História De Amor,Deixa eu lembrar de você
04017,04017.mp4,Sandra De Sá,Vamos Viver,Vamos consertar o mundo
04018,04018.mp4,Latino,Vitrine,"Nem mesmo lá no Hawaí, tem uma"
04019,04019.mp4,Sandy e Andrea Boccelli,Vivo Por Ella,Vivo por ella sin saber
04020,04020.mp4,Roupa Nova,Você No Coração,Não sei porque
